#iteration,Porcupine Basin,Rockall Plateau area A,Rockall Plateau area B,Rockall Plateau area C,Rockall Plateau area D,Northeast Greenland basin,Voring / More basin,Faroe-Shetland basin,Total
74,248.5535925,224.185063,323.1526729,1767.292584,121.9447837,1103.995468,1743.251524,586.2089896,6118.584678
75,400.2038539,252.6658699,471.837719,2973.562195,167.7375908,554.1203049,1620.581759,526.532998,6967.242291
76,222.3540868,258.265523,526.4270099,2423.567514,76.16241548,880.0560233,2600.688789,797.605119,7785.12648
77,272.3357619,273.1940022,571.0459601,1809.60316,119.1175483,892.8315416,1614.776923,746.2167994,6299.121697
78,196.0827489,157.3102957,437.9616125,2167.691407,92.14690327,640.608722,1563.6769,582.3861515,5837.864741
79,330.1774372,245.4967463,584.6268237,2166.336239,114.16934,576.5902778,2588.995971,626.8680824,7233.260917
80,267.5310102,235.25861,392.2544323,2438.735696,79.4887797,869.7472571,2931.779215,1038.782453,8253.577453
81,235.9161335,229.125982,521.1653188,2120.850096,102.9540729,731.1190409,1847.720391,773.6003553,6562.45139
82,195.8360992,495.8579949,421.9142078,2373.85775,95.48754441,992.5094127,1970.553379,648.5913332,7194.607721
83,219.0520603,289.9592054,454.9132595,3164.92394,120.7938129,1168.810672,3585.250711,829.1413829,9832.845044
84,157.8406266,240.0440368,774.2443641,4071.460134,93.57109733,677.8016134,1497.030609,760.0379456,8272.030427
85,207.4686404,302.471626,421.8922729,1890.902972,103.204308,715.3694444,2321.080847,818.1338953,6780.524006
86,181.3097104,240.0044276,484.3620032,3402.484294,73.63400752,1059.137855,1519.315149,590.5686565,7550.816103
87,501.6250428,318.9293912,591.3537441,2716.312803,85.56540432,2029.895658,2985.357886,827.3313713,10056.3713
88,393.3879501,181.6211882,650.4162396,2269.600816,103.7407396,1175.888711,5115.105899,1493.589268,11383.35081
89,315.582141,336.1653004,437.3293559,2266.888121,91.37403239,1364.763427,2965.335967,1149.104728,8926.543073
90,199.2310631,249.8170984,600.4313487,2743.586135,65.24220131,779.6597294,2412.712059,746.5440842,7797.223719
91,282.0804862,337.7849229,388.5521719,1484.526423,94.13531686,523.3834218,3455.670694,970.3178209,7536.451258
92,489.3199844,197.8480758,406.035803,2199.320581,68.86594343,1204.366147,1640.658543,520.970246,6727.385324
93,180.7799758,193.3401997,677.5018415,3138.200365,122.442743,1274.227791,3061.202206,902.8398275,9550.53495
94,216.96086,402.471078,444.168602,2353.84071,103.6829151,453.0432917,1573.359226,685.3812199,6232.907903
95,224.275183,308.8267364,484.1621664,3051.418198,101.5232395,1057.369591,3201.396176,1468.623988,9897.595278
96,247.3982535,212.6917243,333.6208111,2395.52161,69.9080597,560.9578654,2730.528842,1038.032273,7588.659439
97,354.5716013,213.6515196,342.4883862,1933.570223,179.6388408,627.4247141,2827.974479,1104.855816,7584.17558
98,224.0269647,211.2639337,682.9098909,1661.607374,114.6651143,738.0356681,4822.991813,1411.728798,9867.229557
99,175.4311282,309.1482213,474.6886836,2972.407335,114.0507625,906.598607,3029.457964,976.7318022,8958.514504
100,234.3501191,320.7948536,712.0415261,2396.611053,134.1454957,468.1120544,1850.97292,785.0850238,6902.113046
